City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
129,San Patricio,US,28.017,-97.5169,96.17,44,100,15.5,overcast clouds
130,Mount Gambier,AU,-37.8333,140.7667,40.91,100,75,0.0,fog
131,Pangnirtung,CA,66.1451,-65.7125,51.8,71,75,6.91,broken clouds
132,Mitchell,US,43.7094,-98.0298,87.78,46,0,10.36,clear sky
133,Takoradi,GH,4.8845,-1.7554,76.8,83,80,13.62,broken clouds
134,Chadiza,ZM,-14.0678,32.4392,59.36,64,26,4.63,scattered clouds
135,Geraldton,AU,-28.7667,114.6,57.61,62,100,10.36,overcast clouds
136,Vao,NC,-22.6667,167.4833,68.81,71,0,9.66,clear sky
137,Manama,BH,26.2154,50.5832,95.18,68,100,11.5,overcast clouds
138,Barrow,US,71.2906,-156.7887,33.53,97,100,13.49,overcast clouds
139,Tuatapere,NZ,-46.1333,167.6833,44.01,95,100,2.21,overcast clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,67,100,20.71,overcast clouds
141,San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,61,40,14.97,scattered clouds
142,Moose Factory,CA,51.2585,-80.6094,68.0,83,75,12.66,light rain
143,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,66,77,8.61,broken clouds
144,Qobustan,AZ,40.0824,49.412,82.29,60,23,2.01,few clouds
145,Umm Lajj,SA,25.0213,37.2685,89.49,50,23,7.61,few clouds
146,Omama,JP,36.4333,139.2833,75.45,88,99,3.56,overcast clouds
147,Willmar,US,45.1219,-95.0433,78.82,60,0,14.97,clear sky
148,Hobart,AU,-42.8794,147.3294,46.26,83,100,5.75,overcast clouds
149,Kifri,IQ,34.6959,44.9661,97.45,9,0,11.18,clear sky
150,Hithadhoo,MV,-0.6,73.0833,81.88,75,100,9.17,overcast clouds
151,Baherden,TM,38.4362,57.4316,90.3,28,21,8.03,few clouds
152,Provideniya,RU,64.3833,-173.3,45.82,77,100,6.35,overcast clouds
153,Hambantota,LK,6.1241,81.1185,79.41,81,97,2.64,overcast clouds
154,Thompson,CA,55.7435,-97.8558,59.16,77,100,12.66,overcast clouds
155,Longyearbyen,SJ,78.2186,15.6401,51.64,66,40,21.85,scattered clouds
156,Oranjestad,AW,12.524,-70.027,80.28,84,38,18.84,scattered clouds
157,Filingue,NE,14.3521,3.3168,95.54,37,24,15.01,few clouds
158,Tiznit,MA,29.5833,-9.5,85.03,32,0,8.84,clear sky
159,Poyarkovo,RU,49.6,128.6833,67.55,79,97,3.31,overcast clouds
160,Troy,US,42.6056,-83.1499,75.51,84,100,5.75,overcast clouds
161,Carutapera,BR,-1.195,-46.02,85.24,63,27,7.47,scattered clouds
162,Houston,US,29.7633,-95.3633,99.28,62,75,13.8,thunderstorm
163,Hay River,CA,60.8156,-115.7999,69.76,68,75,12.66,broken clouds
164,Sidrolandia,BR,-20.9319,-54.9614,90.66,19,15,5.41,few clouds
165,Vardo,NO,70.3705,31.1107,64.38,72,0,16.11,clear sky
166,Contamana,PE,-7.3333,-75.0167,95.36,37,15,2.15,few clouds
167,Puerto Suarez,BO,-18.95,-57.8,97.36,23,0,6.91,clear sky
168,Zonalnaya Stantsiya,RU,56.4269,85.0221,63.25,93,0,0.0,clear sky
169,Harper,LR,4.375,-7.7169,75.54,80,100,11.83,overcast clouds
170,Fortuna,US,40.5982,-124.1573,67.93,79,16,3.0,few clouds
171,Ilulissat,GL,69.2167,-51.1,44.62,87,75,5.75,broken clouds
172,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,75,10.36,light rain
173,Ribeira Grande,PT,38.5167,-28.7,79.2,78,40,16.11,scattered clouds
174,Sorong,ID,-0.8833,131.25,77.41,90,86,6.04,overcast clouds
175,Coracora,PE,-15.0333,-73.7833,65.97,24,13,11.59,few clouds
176,Ashqelon,IL,31.6693,34.5715,83.82,65,0,8.68,clear sky
177,Chifeng,CN,42.2683,118.9636,68.43,83,100,2.28,light rain
178,Hamilton,US,39.1834,-84.5333,81.61,87,100,11.5,overcast clouds
179,Alice,US,27.7523,-98.0697,93.09,52,20,16.11,few clouds
180,Ust-Kulom,RU,61.6864,53.6902,57.9,71,17,1.7,few clouds
181,Qaqortoq,GL,60.7167,-46.0333,45.27,78,59,6.89,broken clouds
182,Margate,GB,51.3813,1.3862,66.31,66,100,5.01,overcast clouds
183,Poum,NC,-20.2333,164.0167,72.32,77,87,16.89,overcast clouds
184,Severo-Kurilsk,RU,50.6789,156.125,51.26,89,20,7.09,few clouds
185,Port Blair,IN,11.6667,92.75,81.91,79,90,4.61,overcast clouds
186,Inhambane,MZ,-23.865,35.3833,62.58,77,20,3.44,few clouds
187,Arras,FR,50.293,2.7819,70.36,50,87,10.47,overcast clouds
188,Oxford,GB,51.7522,-1.256,69.19,59,20,8.05,few clouds
189,Manono,CD,-7.3,27.4167,80.64,30,37,4.59,scattered clouds
190,Mozarlandia,BR,-14.7447,-50.5706,93.65,15,0,5.57,clear sky
191,Darhan,MN,49.4867,105.9228,55.94,68,96,3.4,overcast clouds
192,Makamba,BI,-4.1348,29.804,67.3,62,63,1.81,broken clouds
193,Nelson Bay,AU,-32.7167,152.15,51.01,81,83,14.0,broken clouds
194,Casper,US,42.8666,-106.3131,82.72,37,0,4.0,clear sky
195,Ugoofaaru,MV,5.6667,73.0,82.09,75,66,15.03,broken clouds
196,Grand-Lahou,CI,5.1367,-5.0242,76.12,86,97,13.62,overcast clouds
197,Norrtalje,SE,59.758,18.705,62.02,61,97,3.58,overcast clouds
198,Karratha,AU,-20.7377,116.8463,69.15,60,16,6.71,few clouds
199,Whitianga,NZ,-36.8333,175.7,58.98,92,71,19.75,broken clouds
200,Necochea,AR,-38.5473,-58.7368,54.45,90,99,2.89,overcast clouds
201,Nuevo Progreso,MX,23.1667,-97.95,92.86,48,87,12.55,light rain
202,Artesia,US,33.8658,-118.0831,87.87,70,0,4.61,clear sky
203,Roma,US,43.2128,-75.4557,81.95,56,20,3.44,few clouds
204,Tautira,PF,-17.7333,-149.15,76.69,75,85,23.29,overcast clouds
205,Beyneu,KZ,45.3167,55.2,88.59,28,65,11.54,broken clouds
206,Lyuban,BY,52.7985,28.0048,57.96,87,71,7.54,broken clouds
207,Kaitangata,NZ,-46.2817,169.8464,44.4,95,100,5.3,moderate rain
208,Labrea,BR,-7.2586,-64.7981,99.36,21,53,2.89,broken clouds
209,Ribeira Brava,PT,32.65,-17.0667,76.71,75,1,4.88,clear sky
210,Kendari,ID,-3.945,122.4989,72.27,90,2,3.18,clear sky
211,Bagdarin,RU,54.4333,113.6,54.72,98,99,5.97,overcast clouds
212,Saint-Leu,RE,-21.15,55.2833,68.83,78,30,4.65,light rain
213,Corinto,GR,37.9407,22.9573,87.89,37,0,3.31,clear sky
214,Yerofey Pavlovich,RU,53.9667,121.9667,61.9,97,90,3.71,light rain
215,Sept-Iles,CA,50.2001,-66.3821,68.52,74,75,16.11,broken clouds
216,Ponta Do Sol,PT,32.6667,-17.1,76.71,74,1,5.64,clear sky
217,Mar Del Plata,AR,-38.0023,-57.5575,56.08,60,100,5.75,mist
218,Nosy Varika,MG,-20.5833,48.5333,66.04,86,1,4.07,clear sky
219,Barentu,ER,15.1139,37.5928,70.07,84,100,9.44,overcast clouds
220,Broken Hill,AU,-31.95,141.4333,43.23,67,2,4.85,clear sky
221,Constitucion,CL,-35.3333,-72.4167,55.65,67,0,5.73,clear sky
222,Saint-Pierre,RE,-21.3393,55.4781,66.29,81,0,5.75,clear sky
223,Kodiak,US,57.79,-152.4072,56.71,62,0,11.5,clear sky
224,Beringovskiy,RU,63.05,179.3167,47.46,88,80,4.23,broken clouds
225,Laurel,US,39.0993,-76.8483,90.73,66,40,5.75,scattered clouds
226,Laguna De Perlas,NI,12.3429,-83.6712,86.09,84,100,6.24,overcast clouds
227,Forest Acres,US,34.0193,-80.9898,94.33,53,20,12.66,few clouds
228,Kidal,ML,18.4411,1.4078,103.48,14,0,10.11,clear sky
229,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,87.6,62,40,4.61,scattered clouds
230,Esperance,AU,-33.8667,121.9,54.63,82,63,13.33,broken clouds
231,Yanam,IN,16.7333,82.2167,79.29,87,62,2.1,broken clouds
232,Cherskiy,RU,68.75,161.3,43.47,67,16,3.42,few clouds
233,Grandview,US,38.8858,-94.533,83.07,78,75,5.75,broken clouds
234,Deputatskiy,RU,69.3,139.9,46.69,62,64,3.44,broken clouds
235,Kulim,MY,5.365,100.5618,80.13,92,100,2.53,overcast clouds
236,Bonthe,SL,7.5264,-12.505,76.26,86,100,7.25,light rain
237,Yarmouth,US,41.7057,-70.2286,84.61,53,0,6.91,clear sky
238,Brae,GB,60.3964,-1.353,55.83,72,61,6.96,broken clouds
239,Ajdabiya,LY,30.7554,20.2263,81.28,67,1,16.28,clear sky
240,Sidi Ali,DZ,36.0998,0.4206,80.46,54,0,6.29,clear sky
241,Comodoro Rivadavia,AR,-45.8667,-67.5,44.46,65,20,21.85,few clouds
242,Salina,US,38.8403,-97.6114,88.95,69,75,0.0,broken clouds
243,Bethel,US,41.3712,-73.414,87.37,50,40,1.01,scattered clouds
244,Clyde River,CA,70.4692,-68.5914,43.03,100,100,6.91,light rain
245,Naze,JP,28.3667,129.4833,77.92,85,68,12.68,light rain
246,Tura,IN,25.5198,90.2201,74.32,90,87,3.38,overcast clouds
247,Grand Gaube,MU,-20.0064,57.6608,71.38,72,20,5.01,few clouds
248,Maymyo,MM,22.0333,96.4667,69.06,85,97,2.17,overcast clouds
249,Praia,CV,14.9215,-23.5087,82.94,74,20,8.05,few clouds
250,Myaundzha,RU,63.0494,147.1858,44.56,62,44,2.57,scattered clouds
251,Preobrazheniye,RU,42.9019,133.9064,69.75,95,41,4.52,scattered clouds
252,Manggar,ID,-2.8833,108.2667,80.85,80,100,9.46,overcast clouds
253,Pevek,RU,69.7008,170.3133,34.16,91,99,4.74,overcast clouds
254,Sinnamary,GF,5.3833,-52.95,82.36,77,37,7.31,scattered clouds
255,Macia,MZ,-25.0269,33.0989,62.83,73,0,6.08,clear sky
256,Vanino,RU,49.0869,140.2543,55.96,97,53,1.86,broken clouds
257,Canico,PT,32.6333,-16.85,76.71,71,20,13.8,few clouds
258,Arcani,RO,45.0833,23.1333,77.79,46,12,7.14,few clouds
259,Srbac,BA,45.0978,17.525,68.13,63,61,4.38,moderate rain
260,Bakel,SN,14.905,-12.4568,97.65,41,93,13.73,overcast clouds
261,Camocim,BR,-2.9022,-40.8411,84.2,63,43,13.98,scattered clouds
262,Huejuquilla El Alto,MX,22.6,-103.8667,75.13,51,70,2.86,broken clouds
263,Bucerias,MX,20.75,-105.3333,89.98,62,75,2.3,broken clouds
264,Anloga,GH,5.7947,0.8973,77.04,84,80,14.97,broken clouds
265,Palampur,IN,32.1167,76.5333,71.26,87,98,1.66,overcast clouds
266,Chase,CA,50.8165,-119.6857,89.08,39,7,0.22,clear sky
267,Seoul,KR,37.5683,126.9778,80.17,69,0,10.36,clear sky
268,Road Town,VG,18.4167,-64.6167,87.84,62,40,11.5,scattered clouds
269,Port Macquarie,AU,-31.4333,152.9167,42.89,71,32,7.87,scattered clouds
270,Port Moresby,PG,-9.4431,147.1797,76.42,88,40,12.66,scattered clouds
271,Hervey Bay,AU,-25.2986,152.8535,49.01,68,0,4.0,clear sky
272,Lancaster,US,40.2504,-76.2499,85.6,61,75,6.91,broken clouds
273,Dingle,PH,10.9995,122.6711,76.1,88,89,2.59,overcast clouds
274,Hasaki,JP,35.7333,140.8333,77.4,90,100,17.4,overcast clouds
275,Antalaha,MG,-14.9003,50.2788,67.95,82,15,6.51,few clouds
276,Talnakh,RU,69.4865,88.3972,61.21,54,85,1.16,overcast clouds
277,Cayenne,GF,4.9333,-52.3333,84.09,1,75,5.75,broken clouds
278,Darab,IR,28.7519,54.5444,79.92,70,96,5.88,moderate rain
279,Aripuana,BR,-9.1667,-60.6333,97.39,20,33,3.33,scattered clouds
280,La Ronge,CA,55.1001,-105.2842,68.22,42,75,10.36,broken clouds
281,Lumphat,KH,13.4878,106.9816,74.08,98,100,2.1,overcast clouds
282,Bahir Dar,ET,11.5936,37.3908,61.25,93,96,4.5,light rain
283,Narrabri,AU,-30.3167,149.7833,43.43,85,82,5.48,broken clouds
284,Sitka,US,57.0531,-135.33,60.69,67,20,3.44,few clouds
285,Kloulklubed,PW,7.0419,134.2556,73.9,71,100,7.85,overcast clouds
286,Katra,IN,32.9833,74.95,74.71,82,99,4.79,overcast clouds
287,Acapulco,MX,16.8634,-99.8901,84.02,65,100,5.75,overcast clouds
288,Lenger,KZ,42.183,69.8839,80.04,28,53,2.53,broken clouds
289,Sabha,LY,27.0377,14.4283,92.16,12,0,7.36,clear sky
290,Luderitz,NA,-26.6481,15.1594,58.14,72,0,8.25,clear sky
291,Hirara,JP,24.8,125.2833,84.85,75,10,10.16,clear sky
292,Aguadilla,PR,18.4275,-67.1541,87.66,75,40,19.57,scattered clouds
293,Atlantic Beach,US,30.3344,-81.3987,93.13,75,75,13.8,broken clouds
294,Bira,RU,49.0,132.4667,67.87,100,86,2.28,overcast clouds
295,Usinsk,RU,65.9939,57.5281,65.75,49,97,7.45,overcast clouds
296,Roebourne,AU,-20.7833,117.1333,69.19,50,10,6.62,clear sky
297,Kahului,US,20.8947,-156.47,80.62,67,20,14.97,few clouds
298,Mnogovershinnyy,RU,53.9353,139.9242,52.27,95,3,4.23,clear sky
299,Waddan,LY,29.1614,16.139,90.88,11,0,9.91,clear sky
300,Lagoa,PT,39.05,-27.9833,73.33,90,76,7.34,broken clouds
301,Amapa,BR,1.0,-52.0,83.77,71,74,2.98,broken clouds
302,Hofn,IS,64.2539,-15.2082,53.62,94,100,11.5,mist
303,Sao Filipe,CV,14.8961,-24.4956,80.53,81,71,4.34,broken clouds
304,Znamenskoye,RU,57.1281,73.8282,63.36,97,96,7.43,light rain
305,Killarney,IE,52.05,-9.5167,59.05,77,75,4.61,broken clouds
306,Sola,VU,-13.8833,167.55,79.59,80,81,9.57,broken clouds
307,Tamala,RU,52.541,43.2515,73.63,61,100,4.59,overcast clouds
308,Kismayo,SO,-0.3582,42.5454,75.7,77,31,15.75,scattered clouds
309,Nouadhibou,MR,20.931,-17.0347,78.78,78,6,23.02,clear sky
310,Sandviken,SE,60.6167,16.7667,62.56,58,100,0.81,overcast clouds
311,Alyangula,AU,-13.8483,136.4192,68.04,89,3,10.71,clear sky
312,Hun,LY,29.1268,15.9477,91.06,10,0,9.15,clear sky
313,Mayo,US,38.8876,-76.5119,90.36,74,20,8.05,few clouds
314,Banda Aceh,ID,5.5577,95.3222,78.46,81,100,7.07,light rain
315,Vostok,RU,46.4856,135.8833,61.66,95,68,2.84,broken clouds
316,Mogocha,RU,53.7333,119.7667,60.04,97,67,2.24,broken clouds
317,Alakurtti,RU,66.9672,30.3491,63.72,67,3,7.54,clear sky
318,Esil,KZ,51.9556,66.4042,66.02,83,58,15.61,broken clouds
319,Lashio,MM,22.9333,97.75,68.68,98,96,0.81,overcast clouds
320,Vanavara,RU,60.34,102.2797,54.57,95,100,2.24,overcast clouds
321,Tobol,KZ,52.6844,62.5794,62.26,81,73,15.35,broken clouds
322,Hope,US,33.6671,-93.5916,96.85,39,78,6.04,broken clouds
323,Havre-Saint-Pierre,CA,50.2334,-63.5986,62.96,77,100,13.8,overcast clouds
324,San Juan,AR,-31.5375,-68.5364,54.25,65,95,14.16,overcast clouds
325,Ilek,RU,51.5271,53.3831,67.3,78,96,5.35,overcast clouds
